"idx","상황(자유 작성)","사용한 (AI) 툴/시스템","노하우 설명(정답이 따로 없습니다. 공유해주신 경험 자체가 도움이 됩니다.)","바로 복붙 가능한 프롬프트(input / 시스템 입력) 예시","결과물(output / 시스템 출력) 예시"
"1","프로덕트의 문제와 목적을 처음 구체화할 때","Hermes Agent, Telegram, Mac mini 홈서버","처음부터 코드를 만들기보다 Hermes Agent와 텔레그램으로 계속 대화하면서 문제를 좁혔습니다. Mac mini 홈서버에 Hermes Agent를 구성해두고 업무 시간 밖에도 아이디어가 떠오를 때마다 ""KBO 티켓 예매의 문제"", ""GIWA를 써야 하는 이유"", ""암표 방지 UX""를 계속 물었습니다. 이 비동기 대화가 단순 NFT 티켓이 아니라 검증된 팬만 사고 정가 이하로만 양도하는 서비스라는 방향을 잡는 데 도움이 됐습니다.","한국 프로야구 티켓 예매와 양도 문제를 GIWA Chain으로 해결하는 해커톤 프로젝트를 만들고 싶습니다. 단순 NFT 티켓이 아니라 사용자가 관심을 가질 만한 실제 문제와 차별점을 찾아주세요. KBO 팬, 구단, 경기장 운영자 입장에서 각각 왜 필요한지 정리하고, 서비스 한 줄 정의와 MVP 범위를 제안하세요.","서비스 한 줄 정의: GIWA Dojang으로 검증된 팬만 KBO 티켓을 예매하고, 온체인 NFT 티켓을 정가 이하로만 안전하게 양도할 수 있는 플랫폼. 핵심 가설: Verified Address, 정가 이하 양도, 마켓 외 전송 차단, Live QR 입장 검증."
"2","유사 Web2 서비스와 GIWA 생태계 리서치가 필요할 때","Codex","Codex를 리서치 담당처럼 사용했습니다. KBO 예매처가 티켓링크, 인터파크/NOL, 구단 자체 예매로 분산되어 있다는 점과 기존 모바일 티켓의 캡처 방지·선물하기 제약을 정리했습니다. 동시에 GIWA Dojang, Verified Address, OnchainVerifier, up.id, Flashblocks가 이 문제에 어떻게 연결되는지 문서화했습니다. 이 결과가 `docs/proof-of-fandom-ticket-plan.md`의 리서치와 문제 정의가 됐습니다.","KBO 티켓 예매/양도 구조와 기존 모바일 티켓의 한계를 조사해서, GIWA Chain 기반 티켓 서비스가 왜 필요한지 정리해 주세요. 반드시 GIWA Dojang, Verified Address, OnchainVerifier, up.id, Flashblocks를 각각 어떤 기능에 쓸 수 있는지 연결해 주세요. 결과는 해커톤 기획서에 바로 붙일 수 있는 한국어 문서 형식으로 작성해 주세요.","리서치 결과: KBO 예매처는 구단/예매처별로 분산되어 팬 경험과 인증 신뢰가 끊긴다. PoF Ticket은 Dojang Verified Address로 구매·양도 자격을 검증하고, OnchainVerifier로 컨트랙트에서 검증 여부를 확인하며, up.id로 팬을 사람이 읽을 수 있게 표시하고, Flashblocks 느낌의 빠른 트랜잭션 UX를 제공한다."
"3","아이디어를 기능 명세와 데모 시나리오로 바꿀 때","Codex, Hermes Agent","Hermes Agent로 목적을 구체화한 뒤 Codex에게 기능 명세를 만들게 했습니다. 단순 설명이 아니라 사용자 페르소나, 1차 예매, 2차 거래소, 내 티켓, 입장 게이트, 환불/우천 취소까지 제품 흐름을 쪼개도록 했습니다. 그 결과 `docs/feature-spec.md`처럼 개발자가 바로 화면과 컨트랙트를 나눠 구현할 수 있는 문서가 생겼습니다.","다음 서비스 아이디어를 실제 구현 가능한 기능 명세서로 바꿔 주세요. 서비스는 검증된 팬만 KBO 티켓을 사고, NFT 티켓으로 보관하고, 정가 이하로만 양도하고, 현재 소유자만 Live QR로 입장하는 플랫폼입니다. 사용자 페르소나, 화면 구조, 티켓 라이프사이클, 온체인 이벤트, MVP 데모 시나리오까지 포함해 주세요.","출력 예시: 1차 시장은 `PrimaryTicketSale.purchase()`로 검증 팬에게 정가 티켓을 발급한다. 2차 시장은 `TicketTransferMarket.list/buy`로 정가 이하 양도만 허용한다. 내 티켓은 NFT 카드와 Live QR을 보여준다. 입장 후 `used=true`가 되면 양도와 QR 발급이 막힌다."
"4","프론트엔드 앱 구조와 서비스 디자인을 만들 때","Claude Code","Claude Code는 주로 구현에 사용했습니다. `frontend/src/App.jsx`에 예매, 거래소, 내 티켓 탭을 만들고, 스포츠 서비스처럼 보이는 KBO 경기 목록·좌석 선택 모달·티켓베이 스타일 거래소·NFT 카드 보관함을 구성했습니다. 디자인은 PoC 화면이 아니라 실제 서비스처럼 보이도록 네이비/레드/화이트 기반 스포츠-핀테크 톤으로 맞췄습니다.","React + Vite로 ""직관 JIKGWAN""이라는 KBO 검증 티켓 웹앱을 구현해 주세요. 탭은 예매, 거래소, 내 티켓으로 나누고, 예매에는 경기 리스트와 좌석 선택 모달, 거래소에는 정가 이하 매물 리스트와 상세 구매 모달, 내 티켓에는 NFT 카드와 Live QR 플립 UI를 넣어 주세요. 전체 톤은 해커톤 mock이 아니라 실제 스포츠 핀테크 서비스처럼 보여야 합니다.","출력 예시: `App.jsx`에 `SeatModal`, `ListingModal`, `TxModal`, `CollectibleCard`가 구현됨. 예매 버튼을 누르면 좌석 선택 → `PrimaryTicketSale.purchase()` 트랜잭션 모달 → NFT 티켓 발급 흐름이 보이고, 거래소에서는 정가 이하 매물과 온체인 에스크로 문구가 표시됨."
"5","지갑 연결과 GIWA Dojang 검증 UX를 구현할 때","Claude Code","지갑 연결은 사용자가 가장 자주 막히는 구간이라 여러 예외 상황을 미리 대비했습니다. 예를 들어 브라우저에 지갑이 여러 개 설치되어 있어도 MetaMask를 잘 찾고, 사용자가 다른 네트워크에 있으면 GIWA Sepolia로 바꾸도록 안내했습니다. 지갑을 연결한 뒤에는 이 주소가 Dojang 인증을 받은 주소인지 확인해 화면에 인증 상태를 보여줍니다. 또 심사자가 지갑 없이도 서비스를 볼 수 있도록 `?demo` 모드를 넣었습니다.","프론트엔드에 실제 지갑 연결 로직을 넣어 주세요. MetaMask를 우선 선택하고, GIWA Sepolia(chainId 91342)로 전환하거나 추가할 수 있어야 합니다. 연결 후 GIWA Dojang OnchainVerifier의 `isVerified(address, attesterId)`를 viem으로 조회해 인증 여부를 UI에 표시해 주세요. 지갑이 없는 심사 환경을 위해 `?demo`로 검증된 데모 계정에 진입하는 기능도 넣어 주세요.","출력 예시: `useWallet.js`에 `discoverProviders`, `pickMetaMask`, `switchNetwork`, `runVerification`, `enterDemo`가 구현됨. `giwaSepolia.js`에는 RPC, Explorer, DojangScroll, Upbit Korea attester, testnet faucet attester, `verifierAbi`, `checkDojangVerified()`가 정리됨."
"6","스마트컨트랙트 MVP를 구현할 때","Claude Code","Claude Code는 Solidity/Hardhat 구현에도 사용했습니다. 기획서의 정책을 코드로 옮길 때 핵심은 컨트랙트를 역할별로 나누는 것이었습니다. `BaseballTicketNFT`는 티켓 본체와 전송 제약, `PrimaryTicketSale`은 1차 발행, `TicketTransferMarket`은 정가 이하 양도, `GateVerifier`는 EIP-712 게이트 패스 검증을 맡게 했습니다.","Hardhat Solidity MVP를 작성해 주세요. 컨트랙트는 `BaseballTicketNFT`, `PrimaryTicketSale`, `TicketTransferMarket`, `GateVerifier`, `MockDojangVerifier`로 나눕니다. 구매자와 양수자는 Dojang `isVerified`를 통과해야 하고, 티켓 NFT는 공식 마켓 외 자유 전송을 막아야 하며, 2차 판매가는 `faceValue` 이하만 허용해야 합니다. 입장은 짧은 수명의 EIP-712 GatePass 서명으로 검증해 `markUsed` 처리합니다.","출력 예시: `BaseballTicketNFT._transfer()`는 `MARKET_ROLE`이 아니면 `TransferNotAllowed`로 막고, 양수자 검증·양도 마감·양도 횟수·상태를 검사한다. `TicketTransferMarket.list()`는 `priceWei > meta.faceValueWei`이면 `PriceTooHigh`로 거절한다. `GateVerifier.redeem()`은 서명자, nonce, expiry, 현재 owner를 검증한다."
"7","컨트랙트 테스트와 배포 스크립트를 만들 때","Claude Code, Codex","구현만 하고 끝내면 해커톤 데모에서 설득력이 약해서 테스트와 배포 흐름도 만들었습니다. `contract/test/pof-ticket.test.cjs`는 검증된 구매자가 좌석을 사고, 자유 전송은 실패하고, 정가 초과 등록은 실패하고, 정가 이하 양도와 게이트 입장은 성공하는 한 줄 데모 시나리오입니다. `deploy.cjs`와 `seed.cjs`는 GIWA Sepolia 배포와 좌석 등록을 위한 실행 흐름을 제공합니다.","컨트랙트 MVP의 핵심 정책이 실제로 동작하는지 Hardhat 테스트를 만들어 주세요. 테스트는 MockDojangVerifier로 buyer와 receiver를 검증 상태로 만들고, 좌석 등록 → 구매 → 자유 전송 실패 → 정가 초과 등록 실패 → 정가 이하 양도 성공 → EIP-712 게이트 패스 입장 성공 → 사용 완료 티켓 재양도 실패까지 한 번에 검증해야 합니다.","출력 예시: `pof-ticket.test.cjs`에서 `purchase()` 후 `ownerOf(1)`이 buyer가 되고, `transferFrom`은 `TransferNotAllowed`, 정가 초과 `list`는 `PriceTooHigh`, `market.buy()` 후 owner가 receiver가 되며, `gate.redeem()` 후 `tokenStatus(1)`이 Used가 된다."
"8","해커톤 제출용 산출물과 썸네일을 만들 때","Codex, imagegen","Codex는 해커톤 산출물 생성에 사용했습니다. 프로젝트를 읽고 한 문단 소개, Vercel 등록 가이드, 대표 썸네일을 만들었습니다. 썸네일은 처음 이미지 생성만으로는 텍스트와 제품 UI가 정확하지 않아, `docs/jikgwan-hackathon-thumbnail.html`로 HTML 합성 소스를 만들고 Chrome headless로 `frontend/public/assets/jikgwan-hackathon-thumbnail.png`를 렌더링했습니다. 이렇게 하니 한글 카피와 로고, NFT 티켓 카드가 정확하게 들어갔습니다.","이 프로젝트를 해커톤에 제출하려고 합니다. 전체 코드와 문서를 보고 PoC 느낌이 아니라 전문가 서비스처럼 보이는 대표 썸네일을 만들어 주세요. 로고는 직관 JIKGWAN 스타일을 쓰고, NFT 티켓 카드와 앱 화면, GIWA Verified, 정가 이하 안심 양도, 캡처 방지 Live QR이 한 장에 드러나게 해 주세요. 한글 문구는 정확해야 합니다.","출력 예시: `jikgwan-hackathon-thumbnail.png` 1600x900 생성. 카피는 `암표 걱정 없는 진짜 직관.`으로 정리되고, 제품 UI에는 예매 화면, Dojang 인증 완료, NFT 티켓 카드, `정가 이하 안심 양도`, `캡처 방지 Live QR`이 표시됨."
"9","내가 이해하기 위한 학습자료와 설명 문서를 만들 때","Codex","Codex를 단순 구현자가 아니라 튜터로도 사용했습니다. GIWA 생태계, OnchainVerifier, Verified Address, EIP-712, NFT 티켓 상태 머신 같은 개념은 바로 이해하기 어렵기 때문에, 구현 후 다시 설명을 요구해 배경지식을 학습했습니다. 이 방식은 다음 지시의 품질을 높이는 데 도움이 됐습니다.","방금 구현한 GIWA 기반 KBO 티켓 서비스를 중학생도 이해할 수 있게 단계별로 설명해 주세요. 꼭 알아야 하는 배경지식만 포함하고, 모르는 것은 말하지 마세요. Verified Address, OnchainVerifier, NFT 티켓, 정가 이하 양도, Live QR, GateVerifier가 각각 왜 필요한지 예시와 함께 설명해 주세요.","출력 예시: Verified Address는 `검증된 사람의 지갑` 표시이고, OnchainVerifier는 컨트랙트가 그 표시를 확인하는 조회 도구다. NFT 티켓은 좌석의 소유권 기록이고, TicketTransferMarket은 정가보다 비싸게 팔 수 없게 막는 공식 양도 창구다. GateVerifier는 현재 소유자에게 발급된 짧은 QR만 입장 처리한다."
"10","모호한 요구를 구현 가능한 작업 단위로 쪼갤 때","Hermes Agent, Codex, Claude Code","아이디어 단계에서는 Hermes Agent로 계속 말로 풀고, 문서화와 리서치는 Codex, 실제 코드 변경은 Claude Code로 나눴습니다. 특히 ""암표를 막는 서비스""처럼 큰 말은 바로 구현하기 어렵기 때문에, 구매자 검증, 마켓 외 전송 차단, 정가 이하 가격 상한, Live QR 입장, 사용 완료 후 양도 불가 같은 테스트 가능한 규칙으로 바꾼 뒤 구현했습니다.","제가 말하는 요구가 모호하면 먼저 질문하고, 답변이 충분하면 구현 가능한 체크리스트로 쪼개 주세요. 목표는 KBO 티켓 암표 방지 서비스입니다. 각 항목은 프론트엔드 화면, 스마트컨트랙트 함수, 테스트 케이스 중 어디에 반영할지까지 표시해 주세요.","출력 예시: 체크리스트: 1) 지갑 연결과 Dojang 검증은 `useWallet.js`와 `VerifyBanner`, 2) 1차 예매는 `SeatModal`과 `PrimaryTicketSale.purchase`, 3) 2차 양도는 `TicketTransferMarket.list/buy`, 4) 입장은 `CollectibleCard` Live QR과 `GateVerifier.redeem`, 5) 정책 검증은 `pof-ticket.test.cjs`에 반영."
